,doc_id,0,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
71,71,1080,2.960311,8.043076,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,1080,10080,10080,10080,10075,10075,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
72,72,1001,5.2687635,9.457864,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
73,73,1001,6.3737493,8.875873,1001,1001,1001,1001,1001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
74,74,1024,0.96312684,7.9775515,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
75,75,1008,5.9380565,8.924541,1008,1008,1008,1008,1008,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10000
76,76,1069,-1.7933514,6.732421,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,1069,10069,10069,10069,10069,10069,10069,10065,10065,10065,10065,10065,10065,10065,10065,10065,10051,10051,10051,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
77,77,1024,2.1737802,9.507365,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
78,78,1047,2.564659,8.818411,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,1047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10047,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
79,79,1052,-0.8875087,10.837247,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,1052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10052,10045,10045,10045,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
80,80,1057,0.75514275,8.088052,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057,10057,10057,10057,10057,10057,10057,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10054,10049,10049,10048,10046,10024,10024,10024,10019,10017,10015,10012,10004,10002,10000
