doc_id,X,Y,0,1,2
137,2.1285465,6.643499,1,12,42
138,5.6797047,6.914609,5,22,70
139,0.77460957,6.369618,1,10,36
140,5.8912215,6.6896267,5,22,71
141,-1.3611552,3.496959,2,14,46
142,5.928934,7.3285623,5,23,75
143,0.28194308,6.56603,1,10,35
144,2.598909,7.566945,3,16,53
145,-2.1896536,8.037017,8,33,103
146,3.1210074,8.952572,3,18,58
147,2.5116334,7.835523,3,17,55
148,-1.4929411,5.025068,6,25,80
149,0.59184295,5.487969,1,11,39
150,2.912664,7.904741,3,18,60
151,5.428605,7.1066422,5,22,72
152,-1.5366998,4.561054,6,25,81
153,-0.47375318,7.9882116,8,31,98
154,6.064995,7.4382067,5,23,75
155,-2.8292747,6.6257358,6,27,85
156,5.1250134,7.3983197,5,23,73
157,3.2819748,8.229002,3,18,60
158,3.226004,7.6333694,3,16,52
159,3.2190223,6.1729927,1,12,41
160,1.5468704,8.394904,3,17,56
161,3.0420337,8.567546,3,18,58
162,-3.0975595,6.4319444,6,27,85
163,5.87326,7.2545915,5,22,72
164,-1.1622357,3.8631017,2,14,46
165,-1.2089669,3.8786905,2,14,46
166,-0.042523444,9.203968,8,32,100
167,5.3598013,6.991161,5,22,70
168,-0.47663674,5.4751883,6,25,79
169,-1.6236707,6.9014463,6,27,86
170,0.11606893,3.1855202,2,15,49
171,-0.9808037,5.7950125,6,25,79
172,-2.527309,7.377101,6,27,86
173,5.297737,7.6042566,5,23,73
174,4.9291778,7.461845,5,23,73
175,0.5350157,7.140523,1,10,34
176,3.271672,7.855423,3,16,52
177,-0.036302365,5.175631,1,11,39
178,3.1680546,8.961632,3,18,58
179,-1.5588192,5.228744,6,25,80
180,-1.1135142,9.081299,8,33,105
181,-1.4033202,6.205638,6,27,87
182,5.5554013,6.8140397,5,22,70
183,-0.37201387,6.77349,8,31,99
184,0.004880846,5.439574,1,11,39
185,3.2624514,7.9324794,3,18,60
186,3.2936344,8.348671,3,18,60
187,3.1326625,8.273061,3,18,60
188,2.158344,6.31419,1,12,42
189,5.421467,6.842181,5,22,70
190,-2.5378106,4.5294805,6,26,83
191,-0.28223854,4.737238,2,15,50
192,-1.7716954,5.026325,6,25,80
193,0.52813286,5.896352,1,10,35
194,-2.015687,5.26054,6,25,80
195,4.6983166,7.544933,5,23,73
196,2.0110521,6.8198867,1,10,34
197,-1.471445,3.369767,2,14,46
198,-0.8349361,3.610972,2,15,51
199,2.4801328,7.869436,3,17,55
200,-1.1251767,3.878696,2,14,46
201,3.7129738,7.703364,3,16,52
202,6.0913463,6.9329925,5,22,71
203,5.8089533,7.4642425,5,23,75
204,-2.8140826,4.6058474,6,26,83
205,5.9256806,6.8725615,5,22,71
206,1.1769702,7.157694,1,10,34
207,3.2504046,6.4229684,3,16,54
208,2.524771,6.026194,1,12,41
209,2.7671,6.5335474,3,16,53
210,6.1715984,6.818484,5,22,71
211,6.549164,7.258702,5,24,76
212,2.2397366,7.716028,3,17,55
213,2.6105773,8.003619,3,18,60
214,2.3621676,7.289138,3,16,53
215,1.7015009,7.293506,3,17,57
216,5.442122,7.3074946,5,23,75
217,2.5638177,4.7639375,1,12,40
218,5.0980744,7.678319,5,23,73
219,2.426471,7.7782965,3,17,55
220,5.8925886,6.924745,5,22,71
221,-0.26153058,5.348239,1,11,39
222,-0.64449644,5.0795183,6,25,81
223,4.549673,7.0637164,5,22,70
224,1.8317678,8.538176,3,17,56
225,1.9784518,4.304289,1,11,37
226,1.7991436,8.501954,3,17,56
227,2.6118271,7.4399757,3,16,53
228,2.5934885,4.6700063,1,12,40
229,1.0769446,6.636479,1,10,34
230,-0.62016755,6.3862696,6,25,79
231,5.396751,6.8817897,5,22,70
232,5.4967194,6.7662745,5,22,70
233,4.957664,7.5531564,5,23,73
234,-0.6987596,9.480541,8,32,100
235,1.6401769,2.397511,4,20,65
236,1.7030629,2.3765967,4,20,65
237,1.5420816,6.8331013,1,10,34
238,2.4963725,5.805662,1,12,41
239,2.7025244,4.931945,1,12,40
240,-1.8584902,5.0924973,6,25,80
241,2.994141,5.7707343,1,12,41
242,2.5016327,6.8837247,3,16,53
243,-1.361866,1.994673,7,28,89
244,6.499311,6.922781,5,24,78
245,-1.6299419,5.8207674,6,25,80
246,1.1820198,4.075897,4,19,61
247,-0.21511023,2.345018,2,13,45
248,-1.2281407,6.5352187,6,27,87
249,1.7667859,2.376303,4,20,65
250,-1.5928726,0.7870258,7,30,95
251,0.1610944,9.699287,8,32,100
252,2.5582623,6.445355,1,12,41
253,-0.71653855,3.1288016,2,13,43
254,-1.3963655,0.84226036,7,30,95
255,-1.244567,0.2376123,7,30,96
256,-1.2898024,0.19708848,7,30,96
257,-0.06371203,2.3672068,2,13,45
258,1.3461312,5.364834,1,11,38
259,3.1590543,8.9716835,3,18,58
260,-1.6688262,5.0413547,6,25,80
261,1.9744934,3.9161155,4,19,63
262,1.3731029,5.3376327,1,11,38
263,-1.354479,6.432376,6,27,87
264,-1.8458267,9.292216,8,33,104
265,-1.6068872,1.5766041,7,28,90
266,3.147617,8.9115095,3,18,58
267,1.6246244,7.4110546,3,17,57
